"table","variable","code","label","note","type"
"collision","local_authority_district","584","South Hams",,"character"
"collision","local_authority_district","585","Teignbridge",,"character"
"collision","local_authority_district","586","Mid Devon",,"character"
"collision","local_authority_district","587","Torbay",,"character"
"collision","local_authority_district","588","Torridge",,"character"
"collision","local_authority_district","589","West Devon",,"character"
"collision","local_authority_district","590","Caradon",,"character"
"collision","local_authority_district","591","Carrick",,"character"
"collision","local_authority_district","592","Kerrier",,"character"
"collision","local_authority_district","593","North Cornwall",,"character"
"collision","local_authority_district","594","Penwith",,"character"
"collision","local_authority_district","595","Restormel",,"character"
"collision","local_authority_district","596","Cornwall",,"character"
"collision","local_authority_district","599","Isles of Scilly",,"character"
"collision","local_authority_district","600","Bath",,"character"
"collision","local_authority_district","601","Bristol, City of",,"character"
"collision","local_authority_district","602","Kingswood",,"character"
"collision","local_authority_district","603","Northavon",,"character"
"collision","local_authority_district","604","Wansdyke",,"character"
"collision","local_authority_district","605","North Somerset",,"character"
"collision","local_authority_district","606","Mendip",,"character"
"collision","local_authority_district","607","Sedgemoor",,"character"
"collision","local_authority_district","608","Taunton Deane",,"character"
"collision","local_authority_district","609","West Somerset",,"character"
"collision","local_authority_district","610","South Somerset",,"character"
"collision","local_authority_district","611","Bath and North East Somerset",,"character"
"collision","local_authority_district","612","South Gloucestershire",,"character"
"collision","local_authority_district","620","Cheltenham",,"character"
"collision","local_authority_district","621","Cotswold",,"character"
"collision","local_authority_district","622","Forest of Dean",,"character"
"collision","local_authority_district","623","Gloucester",,"character"
"collision","local_authority_district","624","Stroud",,"character"
"collision","local_authority_district","625","Tewkesbury",,"character"
"collision","local_authority_district","630","Kennet",,"character"
"collision","local_authority_district","631","North Wiltshire",,"character"
"collision","local_authority_district","632","Salisbury",,"character"
"collision","local_authority_district","633","Swindon",,"character"
"collision","local_authority_district","634","West Wiltshire",,"character"
"collision","local_authority_district","635","Wiltshire",,"character"
"collision","local_authority_district","640","Bournemouth",,"character"
"collision","local_authority_district","641","Christchurch",,"character"
"collision","local_authority_district","642","North Dorset",,"character"
"collision","local_authority_district","643","Poole",,"character"
"collision","local_authority_district","644","Purbeck",,"character"
"collision","local_authority_district","645","West Dorset",,"character"
"collision","local_authority_district","646","Weymouth and Portland",,"character"
"collision","local_authority_district","647","East Dorset",,"character"
"collision","local_authority_district","660","Aberconwy",,"character"
"collision","local_authority_district","661","Arfon",,"character"
"collision","local_authority_district","662","Dwyfor",,"character"
"collision","local_authority_district","663","Meirionnydd",,"character"
"collision","local_authority_district","664","Ynys Mon - Isle of Anglesey ",,"character"
"collision","local_authority_district","665","Alyn-Deeside",,"character"
"collision","local_authority_district","666","Colwyn",,"character"
"collision","local_authority_district","667","Delwyn",,"character"
"collision","local_authority_district","668","Glyndwr",,"character"
"collision","local_authority_district","669","Rhuddlan",,"character"
"collision","local_authority_district","670","Wrexham Maelor",,"character"
"collision","local_authority_district","680","Blaenau Gwent",,"character"
"collision","local_authority_district","682","Islwyn",,"character"
"collision","local_authority_district","683","Monmouth",,"character"
"collision","local_authority_district","684","Newport",,"character"
"collision","local_authority_district","685","Torfaen",,"character"
"collision","local_authority_district","690","Cynon Valley",,"character"
"collision","local_authority_district","692","Merthyr Tydfil",,"character"
"collision","local_authority_district","694","Ogwr",,"character"
"collision","local_authority_district","695","Rhondda",,"character"
"collision","local_authority_district","696","Rhymney Valley",,"character"
"collision","local_authority_district","698","Taff-Ely",,"character"
"collision","local_authority_district","699","Cardiff",,"character"
"collision","local_authority_district","701","Vale of Glamorgan",,"character"
"collision","local_authority_district","702","Afan",,"character"
"collision","local_authority_district","703","Lliw Valley",,"character"
"collision","local_authority_district","704","Neath",,"character"
"collision","local_authority_district","705","Swansea ",,"character"
"collision","local_authority_district","710","Carmarthen",,"character"
"collision","local_authority_district","711","Ceredigion",,"character"
"collision","local_authority_district","712","Dinefwr",,"character"
"collision","local_authority_district","713","Llanelli",,"character"
"collision","local_authority_district","714","Preseli",,"character"
"collision","local_authority_district","715","South Pembrokeshire",,"character"
"collision","local_authority_district","716","Brecknock",,"character"
"collision","local_authority_district","717","Montgomery",,"character"
"collision","local_authority_district","718","Radnor",,"character"
"collision","local_authority_district","720","Isle of Anglesey",,"character"
"collision","local_authority_district","721","Conwy",,"character"
"collision","local_authority_district","722","Gwynedd",,"character"
"collision","local_authority_district","723","Denbighshire",,"character"
"collision","local_authority_district","724","Flintshire",,"character"
"collision","local_authority_district","725","Wrexham",,"character"
"collision","local_authority_district","730","Blaenau Gwent",,"character"
"collision","local_authority_district","731","Caerphilly",,"character"
"collision","local_authority_district","732","Monmouthshire",,"character"
"collision","local_authority_district","733","Newport",,"character"
"collision","local_authority_district","734","Torfaen",,"character"
"collision","local_authority_district","740","Bridgend",,"character"
"collision","local_authority_district","741","Cardiff",,"character"
"collision","local_authority_district","742","Merthyr Tydfil",,"character"
"collision","local_authority_district","743","Neath Port Talbot",,"character"
"collision","local_authority_district","744","Rhondda, Cynon, Taff",,"character"
"collision","local_authority_district","745","Swansea",,"character"
"collision","local_authority_district","746","The Vale of Glamorgan",,"character"
"collision","local_authority_district","750","Ceredigion",,"character"
"collision","local_authority_district","751","Carmarthenshire",,"character"
"collision","local_authority_district","752","Pembrokeshire",,"character"
"collision","local_authority_district","753","Powys",,"character"
"collision","local_authority_district","801","Orkney",,"character"
"collision","local_authority_district","802","Shetland",,"character"
"collision","local_authority_district","803","Western Isles",,"character"
"collision","local_authority_district","804","Caithness",,"character"
"collision","local_authority_district","805","Sutherland",,"character"
"collision","local_authority_district","806","Ross and Cromarty",,"character"
"collision","local_authority_district","807","Skye and Lochalsh",,"character"
"collision","local_authority_district","808","Lochaber",,"character"
"collision","local_authority_district","809","Inverness",,"character"
"collision","local_authority_district","810","Badenoch and Strathspey",,"character"
"collision","local_authority_district","811","Nairn",,"character"
"collision","local_authority_district","812","Aberdeen (City of)",,"character"
"collision","local_authority_district","813","Moray",,"character"
"collision","local_authority_district","814","Banff and Buchan",,"character"
"collision","local_authority_district","815","Gordon",,"character"
"collision","local_authority_district","816","Kincardine and Deeside",,"character"
"collision","local_authority_district","817","Dundee (City of)",,"character"
"collision","local_authority_district","818","Angus",,"character"
"collision","local_authority_district","819","Perth and Kinross",,"character"
"collision","local_authority_district","821","Kirkcaldy",,"character"
"collision","local_authority_district","822","North East Fife",,"character"
"collision","local_authority_district","823","Dunfermline ",,"character"
"collision","local_authority_district","824","Edinburgh (City of)",,"character"
"collision","local_authority_district","825","West Lothian",,"character"
"collision","local_authority_district","826","Midlothian",,"character"
"collision","local_authority_district","827","East Lothian",,"character"
"collision","local_authority_district","828","Tweeddale",,"character"
"collision","local_authority_district","829","Ettrick and Lauderdale",,"character"
"collision","local_authority_district","830","Roxburgh",,"character"
"collision","local_authority_district","831","Berwickshire",,"character"
"collision","local_authority_district","833","Clackmannan",,"character"
"collision","local_authority_district","834","Stirling",,"character"
"collision","local_authority_district","835","Falkirk",,"character"
"collision","local_authority_district","836","Glasgow (City of)",,"character"
"collision","local_authority_district","837","Argyll and Bute",,"character"
"collision","local_authority_district","838","Dumbarton",,"character"
"collision","local_authority_district","839","Clydebank",,"character"
"collision","local_authority_district","840","Bearsden and Milngavie",,"character"
